config_name,stage,f_i,f1,f2,f3,f4,f5,bottlenecks_per_stage,decoder_type,ops_flags,quant_bits,params,flops,bops,dice,dice_binary,dice_LAD,dice_RCA,dice_LCX,dice_LM,cldice,cldice_LAD,cldice_RCA,cldice_LCX,cldice_LM,n_components,epochs,converged_flag,seed,mem_elements
nnUNetTrainerENet_8_2_relu_prune_stage2_4,experiment_stage2_4,4.0,16.0,32.0,32.0,16.0,4.0,"4,11,11,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved,prelu=0,prelu_variant=standard,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=1,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,pruned_blocks=stage2.4",32.0,34924.0,570294272.0,,0.7385625009681532,0.7009847522679857,0.6484621088468118,0.8158471560198347,0.7320769831226829,0.7578637558832836,0.7450396195523837,0.6576506623068012,0.8182083093728647,0.7351044145443488,0.76919509198552,5.753333333333333,150.0,,0.0,468480.0
nnUNetTrainerENet_8_2_relu_prune_stage2_6,experiment_stage2_6,4.0,16.0,32.0,32.0,16.0,4.0,"4,11,11,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved,prelu=0,prelu_variant=standard,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=1,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,pruned_blocks=stage2.6",32.0,34924.0,570294272.0,,0.796420261273814,0.7244830361735728,0.6905051287575851,0.8978933753855546,0.8179284000244289,0.7793541409276878,0.8046760479211982,0.705346483106177,0.9014118993407112,0.823091674815165,0.7888541344227398,6.1433333333333335,150.0,,0.0,525824.0
nnUNetTrainerENet_8_2_relu_prune_stage2_7,experiment_stage2_7,4.0,16.0,32.0,32.0,16.0,4.0,"4,11,11,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved,prelu=0,prelu_variant=standard,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=1,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,pruned_blocks=stage2.7",32.0,34924.0,570294272.0,,0.8037959240194139,0.7294257541951122,0.6914213887507553,0.9011547114835112,0.8227020382358085,0.7999055576075808,0.8122283433177351,0.7067610627494273,0.9049004785897664,0.8291060572697689,0.8081457746619777,5.876666666666667,150.0,,0.0,517632.0
nnUNetTrainerENet_8_2_relu_prune_stage2_8,experiment_stage2_8,4.0,16.0,32.0,32.0,16.0,4.0,"4,11,11,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved,prelu=0,prelu_variant=standard,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=1,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,pruned_blocks=stage2.8",32.0,34924.0,570294272.0,,0.7968260815998325,0.7251643597461149,0.6940929189307349,0.8948482077929072,0.8048531274082481,0.7935100722674401,0.804009137213072,0.704626040239452,0.897445118650521,0.8086907582688737,0.8052746316934412,5.3966666666666665,150.0,,0.0,501248.0
nnUNetTrainerENet_8_2_relu_prune_stage2_9,experiment_stage2_9,4.0,16.0,32.0,32.0,16.0,4.0,"4,11,11,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved,prelu=0,prelu_variant=standard,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=1,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,pruned_blocks=stage2.9",32.0,34924.0,570294272.0,,0.771257927840556,0.7266589440193252,0.6636360819898389,0.9114454767284628,0.7145471449002235,0.7954030077436987,0.7794573834552208,0.6768910917361828,0.9149308081611792,0.7205522308865718,0.8054554030369495,6.033333333333333,150.0,,0.0,468480.0
nnUNetTrainerENet_8_2_relu_prune_stage3_1,experiment_stage3_1,4.0,16.0,32.0,32.0,16.0,4.0,"4,11,11,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved,prelu=0,prelu_variant=standard,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=1,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,pruned_blocks=stage3.1",32.0,34924.0,570294272.0,,0.7945702791009498,0.7273233079361963,0.6796210854521739,0.8897593183963528,0.8108280286098417,0.798072683945431,0.8029733081652177,0.696112415026869,0.8919546683951411,0.8150346863982614,0.8087914628405989,6.27,150.0,,0.0,525824.0
nnUNetTrainerENet_8_2_relu_prune_stage3_2,experiment_stage3_2,4.0,16.0,32.0,32.0,16.0,4.0,"4,11,11,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved,prelu=0,prelu_variant=standard,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=1,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,pruned_blocks=stage3.2",32.0,34924.0,570294272.0,,0.798325485058346,0.7287051285394827,0.6765071062790637,0.8964319023899308,0.8323198910250265,0.7880430405393631,0.8076848042682814,0.6943029059954937,0.8994962856527907,0.838889389862855,0.7980506355619861,5.793333333333333,150.0,,0.0,517632.0
nnUNetTrainerENet_8_2_relu_prune_stage3_3,experiment_stage3_3,4.0,16.0,32.0,32.0,16.0,4.0,"4,11,11,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved,prelu=0,prelu_variant=standard,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=1,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,pruned_blocks=stage3.3",32.0,34924.0,570294272.0,,0.8054016186867395,0.7294148992985953,0.690120395824251,0.9209878609785858,0.8142795552895535,0.7962186626545679,0.8144125116708483,0.7062020489217288,0.9249307854301918,0.8196140273679751,0.8069031849634978,6.08,150.0,,0.0,501248.0
nnUNetTrainerENet_8_2_relu_prune_stage3_4,experiment_stage3_4,4.0,16.0,32.0,32.0,16.0,4.0,"4,11,11,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved,prelu=0,prelu_variant=standard,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=1,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,pruned_blocks=stage3.4",32.0,34924.0,570294272.0,,0.7572667108824175,0.7207865663132625,0.6147260673665891,0.8800392280920174,0.7623732899959385,0.7719282580751249,0.7670095626320677,0.6301325898397274,0.8848959356289462,0.768787339687782,0.7842223853718151,5.976666666666667,150.0,,0.0,468480.0
nnUNetTrainerENet_8_2_relu_prune_stage3_6,experiment_stage3_6,4.0,16.0,32.0,32.0,16.0,4.0,"4,11,11,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved,prelu=0,prelu_variant=standard,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=1,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,pruned_blocks=stage3.6",32.0,34924.0,570294272.0,,0.8126042328757728,0.7350967026464301,0.703638152839908,0.918464953375112,0.8287695638120972,0.799544261475974,0.8226439177149344,0.719801621652453,0.9218179995467708,0.8350261113257867,0.8139299383347272,6.886666666666667,150.0,,0.0,525824.0
nnUNetTrainerENet_8_2_relu_prune_stage3_7,experiment_stage3_7,4.0,16.0,32.0,32.0,16.0,4.0,"4,11,11,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved,prelu=0,prelu_variant=standard,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=1,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,pruned_blocks=stage3.7",32.0,34924.0,570294272.0,,0.7975089399289829,0.7293558802133907,0.6947307030089767,0.8917524813724788,0.812616091254617,0.7909364840798591,0.8045971633582868,0.7072408714716348,0.8951308284473785,0.819026033524712,0.796990919989422,6.466666666666667,150.0,,0.0,517632.0
nnUNetTrainerENet_8_2_relu_prune_stage3_8,experiment_stage3_8,4.0,16.0,32.0,32.0,16.0,4.0,"4,11,11,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved,prelu=0,prelu_variant=standard,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=1,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,pruned_blocks=stage3.8",32.0,34924.0,570294272.0,,0.7997941461893981,0.7322736000205264,0.6905757900110171,0.8929107975285744,0.8097372931814552,0.805952704036546,0.8091512915082255,0.7038019058979085,0.8966298187354493,0.8174094050276501,0.818764036371894,5.866666666666666,150.0,,0.0,501248.0
nnUNetTrainerENet_8_2_relu_prune_stage3_9,experiment_stage3_9,4.0,16.0,32.0,32.0,16.0,4.0,"4,11,11,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved,prelu=0,prelu_variant=standard,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=1,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,pruned_blocks=stage3.9",32.0,34924.0,570294272.0,,0.7797124953549819,0.7334711934265855,0.6858786644844472,0.8333210045647146,0.8141265868554108,0.7855237255153549,0.7893120573294612,0.6993043108554529,0.8368096202584016,0.8205631012565255,0.8005711969474653,5.996666666666667,150.0,,0.0,468480.0
nnUNetTrainerENet_8_2_relu_prune_stage2_1_2_consec,experiment_stage2_1_2_consec,4.0,16.0,32.0,32.0,16.0,4.0,"4,11,11,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved,prelu=0,prelu_variant=standard,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=1,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,pruned_blocks=stage2.1,stage2.2",32.0,33484.0,557449216.0,,0.7106294017171837,0.6784820479321823,0.6064449942913471,0.8555957484370516,0.7211997054228101,0.6592771587175258,0.719762253052411,0.6205661369156219,0.8598759751100139,0.7241626101060653,0.674444290077943,6.126666666666667,150.0,,0.0,509440.0
nnUNetTrainerENet_8_2_relu_prune_stage2_2_3_consec,experiment_stage2_2_3_consec,4.0,16.0,32.0,32.0,16.0,4.0,"4,11,11,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved,prelu=0,prelu_variant=standard,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=1,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,pruned_blocks=stage2.2,stage2.3",32.0,33484.0,557449216.0,,0.7415590446228046,0.6796118323817578,0.6515634901583119,0.8308008737347137,0.7670379874952129,0.7168338271029804,0.7491247233091771,0.6657432286150723,0.8336701486243859,0.7677296507692292,0.7293558652280214,5.706666666666667,150.0,,0.0,484864.0
nnUNetTrainerENet_8_2_relu_prune_stage2_3_4_consec,experiment_stage2_3_4_consec,4.0,16.0,32.0,32.0,16.0,4.0,"4,11,11,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved,prelu=0,prelu_variant=standard,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=1,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,pruned_blocks=stage2.3,stage2.4",32.0,33484.0,557449216.0,,0.6828699204419798,0.6626588759403179,0.6193032993562696,0.7426246301648881,0.6821192302589808,0.6874325219877807,0.6888991648396323,0.6297660016789237,0.7446862315873022,0.6827721642340543,0.6983722618582486,5.703333333333333,150.0,,0.0,435712.0
nnUNetTrainerENet_8_2_relu_prune_stage2_1_3_skip,experiment_stage2_1_3_skip,4.0,16.0,32.0,32.0,16.0,4.0,"4,11,11,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved,prelu=0,prelu_variant=standard,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=1,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,pruned_blocks=stage2.1,stage2.3",32.0,33484.0,557449216.0,,0.7481302104737931,0.6896989811643858,0.6357932963894005,0.8695370251736798,0.7687711180985605,0.7184194022335316,0.7558507961714725,0.650275323234719,0.8731457629643586,0.7709461492443093,0.7290359492425033,5.74,150.0,,0.0,493056.0
nnUNetTrainerENet_8_2_relu_prune_stage2_2_4_skip,experiment_stage2_2_4_skip,4.0,16.0,32.0,32.0,16.0,4.0,"4,11,11,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved,prelu=0,prelu_variant=standard,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=1,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,pruned_blocks=stage2.2,stage2.4",32.0,33484.0,557449216.0,,0.7127115724050094,0.6687228106671617,0.6371937596918819,0.7940774396921518,0.724805966188853,0.6947691240471509,0.7210111930198652,0.6488688625231676,0.7971528857935988,0.7272252640598215,0.710797759702873,6.0633333333333335,150.0,,0.0,452096.0
nnUNetTrainerENet_8_2_relu_prune_stage2_6_7_consec,experiment_stage2_6_7_consec,4.0,16.0,32.0,32.0,16.0,4.0,"4,11,11,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved,prelu=0,prelu_variant=standard,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=1,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,pruned_blocks=stage2.6,stage2.7",32.0,33484.0,557449216.0,,0.7637193915799032,0.6977889820050329,0.6494957628694851,0.8700955287341532,0.7763289290178069,0.7589573456981673,0.7726852881547244,0.6639478437046009,0.8737859282023275,0.7793373882122745,0.7736699924996949,5.863333333333333,150.0,,0.0,509440.0
nnUNetTrainerENet_8_2_relu_prune_stage2_7_8_consec,experiment_stage2_7_8_consec,4.0,16.0,32.0,32.0,16.0,4.0,"4,11,11,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved,prelu=0,prelu_variant=standard,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=0,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=1,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,pruned_blocks=stage2.7,stage2.8",32.0,33484.0,557449216.0,,0.761120616695457,0.6999991418096861,0.6469685820250254,0.8637344733228137,0.763924590363626,0.7698548210703628,0.766965747811186,0.6568901184448456,0.8664894231825542,0.7658017789380934,0.778681670679251,5.32,150.0,,0.0,484864.0
